Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold175,Scaffold175,NW_012224576.1,KN805700.1,GPS_009135898.1
Fundulus_heteroclitus-3.0.2,Scaffold176,Scaffold176,NW_012224577.1,KN805701.1,GPS_009135899.1
Fundulus_heteroclitus-3.0.2,Scaffold177,Scaffold177,NW_012224578.1,KN805702.1,GPS_009135900.1
Fundulus_heteroclitus-3.0.2,Scaffold178,Scaffold178,NW_012224579.1,KN805703.1,GPS_009135901.1
Fundulus_heteroclitus-3.0.2,Scaffold179,Scaffold179,NW_012224580.1,KN805704.1,GPS_009135902.1
Fundulus_heteroclitus-3.0.2,Scaffold180,Scaffold180,NW_012224581.1,KN805705.1,GPS_009135903.1
Fundulus_heteroclitus-3.0.2,Scaffold181,Scaffold181,NW_012224582.1,KN805706.1,GPS_009135904.1
Fundulus_heteroclitus-3.0.2,Scaffold182,Scaffold182,NW_012224583.1,KN805707.1,GPS_009135905.1
Fundulus_heteroclitus-3.0.2,Scaffold183,Scaffold183,NW_012224584.1,KN805708.1,GPS_009135906.1
Fundulus_heteroclitus-3.0.2,Scaffold184,Scaffold184,NW_012224585.1,KN805709.1,GPS_009135907.1
Fundulus_heteroclitus-3.0.2,Scaffold185,Scaffold185,NW_012224586.1,KN805710.1,GPS_009135908.1
Fundulus_heteroclitus-3.0.2,Scaffold186,Scaffold186,NW_012224587.1,KN805711.1,GPS_009135909.1
Fundulus_heteroclitus-3.0.2,Scaffold187,Scaffold187,NW_012224588.1,KN805712.1,GPS_009135910.1
Fundulus_heteroclitus-3.0.2,Scaffold188,Scaffold188,NW_012224589.1,KN805713.1,GPS_009135911.1
Fundulus_heteroclitus-3.0.2,Scaffold189,Scaffold189,NW_012224590.1,KN805714.1,GPS_009135912.1
Fundulus_heteroclitus-3.0.2,Scaffold190,Scaffold190,NW_012224591.1,KN805715.1,GPS_009135913.1
Fundulus_heteroclitus-3.0.2,Scaffold191,Scaffold191,NW_012224592.1,KN805716.1,GPS_009135914.1
Fundulus_heteroclitus-3.0.2,Scaffold192,Scaffold192,NW_012224593.1,KN805717.1,GPS_009135915.1
Fundulus_heteroclitus-3.0.2,Scaffold193,Scaffold193,NW_012224594.1,KN805718.1,GPS_009135916.1
Fundulus_heteroclitus-3.0.2,Scaffold194,Scaffold194,NW_012224595.1,KN805719.1,GPS_009135917.1
Fundulus_heteroclitus-3.0.2,Scaffold195,Scaffold195,NW_012224596.1,KN805720.1,GPS_009135918.1
Fundulus_heteroclitus-3.0.2,Scaffold196,Scaffold196,NW_012224597.1,KN805721.1,GPS_009135919.1
Fundulus_heteroclitus-3.0.2,Scaffold197,Scaffold197,NW_012224598.1,KN805722.1,GPS_009135920.1
